Date, SleepTime, WakeTime, Hours,decST,decWT
5/29/2019,0:41,7:39,6.97,0.68,7.65
5/28/2019,1:19,7:43,6.39,1.32,7.72
5/27/2019,0:41,9:01,8.33,0.68,9.02
5/26/2019,0:22,9:09,8.78,0.37,9.15
5/25/2019,2:20,10:15,7.92,2.33,10.25
5/24/2019,0:01,7:39,7.62,0.02,7.65
5/23/2019,22:58,6:30,7.53,22.97,6.50
5/22/2019,23:46,8:16,8.5,23.77,8.27
5/21/2019,23:26,7:12,7.75,23.43,7.20
5/20/2019,23:40,8:58,9.3,23.67,8.97
5/19/2019,0:45,8:19,7.56,0.75,8.32
5/18/2019,23:24,7:30,8.1,23.40,7.50
5/17/2019,23:59,8:33,8.57,23.98,8.55
5/16/2019,22:28,9:16,10.7,22.47,9.27
5/15/2019,0:06,7:48,7.69,0.10,7.80
5/14/2019,0:08,7:58,7.82,0.13,7.97
5/13/2019,0:23,9:02,8.65,0.38,9.03
5/12/2019,22:52,9:10,10.3,22.87,9.17
5/11/2019,0:04,8:18,8.22,0.07,8.30
5/10/2019,1:11,9:52,8.67,1.18,9.87
5/9/2019,0:01,5:55,5.89,0.02,5.92
5/8/2019,1:22,10:04,8.7,1.37,10.07
5/7/2019,0:47,8:52,8.07,0.78,8.87
5/6/2019,0:45,10:00,9.24,0.75,10.00
5/5/2019,3:10,10:45,7.58,3.17,10.75
5/4/2019,2:08,10:06,7.96,2.13,10.10
5/3/2019,0:36,9:37,9.01,0.60,9.62
5/2/2019,0:29,8:40,8.18,0.48,8.67
5/1/2019,0:20,8:30,8.16,0.33,8.50
4/30/2019,0:21,8:45,8.4,0.35,8.75
4/29/2019,0:27,9:16,8.81,0.45,9.27
4/28/2019,3:23,11:02,7.64,3.38,11.03
4/27/2019,4:14,11:02,6.8,4.23,11.03
4/26/2019,0:14,8:30,8.26,0.23,8.50
4/25/2019,0:20,8:30,8.16,0.33,8.50
4/24/2019,23:45,8:30,8.74,23.75,8.50
4/23/2019,0:34,8:30,7.92,0.57,8.50
4/22/2019,0:20,7:44,7.39,0.33,7.73
4/21/2019,0:37,8:46,8.15,0.62,8.77
4/20/2019,23:57,8:51,8.89,23.95,8.85
4/19/2019,0:05,9:54,9.81,0.08,9.90
4/18/2019,1:12,8:31,7.31,1.20,8.52
4/17/2019,0:44,8:43,7.97,0.73,8.72
4/16/2019,0:43,8:40,7.94,0.72,8.67
4/15/2019,23:52,8:30,8.63,23.87,8.50
4/14/2019,3:45,10:13,6.46,3.75,10.22
